Address Match,Business Phone,City Match,Connected,First Name Match,High Quality,Last Name Match,Low Quality,Mailable,Medium Quality,No Address,No Date,Ported,Possibly Disconnected,Possibly Portable VOIP,Relevant Name,Residential Phone,State Match,Unknown Contact,Workplace Match,ZipCode Match,label
1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,connected
0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,connected
0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,disconnected
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,disconnected
0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,disconnected
0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,disconnected
0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,connected
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,connected
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,connected
0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,disconnected
0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,disconnected
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,disconnected
1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,disconnected
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,disconnected
0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,disconnected
1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,disconnected
0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,connected
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,disconnected
0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,disconnected
1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,connected
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,disconnected
0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,disconnected
1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,disconnected
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,disconnected
0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,connected
0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,connected
0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,disconnected
0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,disconnected
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,connected
0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,connected
0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,connected
0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,connected
0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,connected
0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,disconnected
0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,connected
1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,disconnected
0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,disconnected
0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,disconnected
1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,disconnected
0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,disconnected
0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,connected
0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,disconnected
0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,connected
0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,connected
1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,disconnected
0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,connected
0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,connected
0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,connected
0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,connected
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,disconnected
0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,connected
1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,disconnected
0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,disconnected
0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,disconnected
1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,disconnected
0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,disconnected
0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,disconnected
1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,connected
1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,connected
0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,connected
0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,disconnected
0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,disconnected
0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,disconnected
0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,disconnected
1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,connected
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,connected
0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,connected
0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,connected
0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,connected
0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,connected
0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,disconnected
0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,connected
1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,connected
0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,connected
1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,connected
0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,disconnected
0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,connected
0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,disconnected
0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,disconnected
0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,disconnected
0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,connected
0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,disconnected
0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,connected
0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,disconnected
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,disconnected
0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,connected
0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,disconnected
0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,disconnected
0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,disconnected
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,disconnected
0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,disconnected
0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,connected
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,connected
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,disconnected
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,connected
0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,connected
0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,disconnected
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,disconnected
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,connected
0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,connected
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,disconnected
0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,disconnected
1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,disconnected
1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,connected
0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,connected
0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,connected
0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,connected
0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,disconnected
1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,disconnected
1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,connected
1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,disconnected
1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,connected
0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,connected
0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,connected
0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,disconnected
0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,connected
0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,connected
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,connected
0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,connected
0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,connected
0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,disconnected
1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,connected
0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,disconnected
0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,connected
0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,disconnected
0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,disconnected
0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,connected
0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,disconnected
0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,disconnected
0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,disconnected
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,disconnected
0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,connected
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,disconnected
1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,connected
1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,connected
0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,disconnected
1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,connected
0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,connected
0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,connected
0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,connected
0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,connected
0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,disconnected
0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,disconnected
0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,disconnected
0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,disconnected
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,disconnected
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,disconnected
0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,disconnected
0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,connected
0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,disconnected
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,disconnected
0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,disconnected
1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,disconnected
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,connected
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,connected
0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,disconnected
0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,disconnected
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,disconnected
1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,disconnected
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,connected
0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,disconnected
0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,connected
0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,disconnected
0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,disconnected
0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,connected
0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,connected
0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,connected
0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,disconnected
0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,connected
0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,disconnected
0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,connected
1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,disconnected
1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,connected
0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,disconnected
1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,connected
1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,disconnected
0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,connected
1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,connected
0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,connected
0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,disconnected
0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,connected
0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,connected
0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,disconnected
0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,connected
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,connected
0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,disconnected
